Date;VIX
04/04/2019;29.8
05/04/2019;29.26
08/04/2019;29.92
09/04/2019;30.22
10/04/2019;29.64
11/04/2019;29.31
12/04/2019;29.25
15/04/2019;29.39
16/04/2019;26.59
17/04/2019;19.37
18/04/2019;18.52
19/04/2019;#N/A
22/04/2019;16.67
23/04/2019;16.2
24/04/2019;16.55
25/04/2019;17.28
26/04/2019;16.48
29/04/2019;16.71
30/04/2019;16.02
01/05/2019;16.65
02/05/2019;16.95
03/05/2019;15.56
06/05/2019;17.7
07/05/2019;23.7
08/05/2019;22.43
09/05/2019;22.99
10/05/2019;21.45
13/05/2019;23.38
14/05/2019;20.32
15/05/2019;20.89
16/05/2019;18
17/05/2019;19.3
20/05/2019;21.05
21/05/2019;18.89
22/05/2019;19.5
23/05/2019;33.75
24/05/2019;23.2
27/05/2019;#N/A
28/05/2019;24.67
29/05/2019;26.88
30/05/2019;25.78
31/05/2019;27.94
03/06/2019;27.61
04/06/2019;26.33
05/06/2019;26.72
06/06/2019;26.28
07/06/2019;26.22
10/06/2019;26.69
11/06/2019;26.99
12/06/2019;27.89
13/06/2019;27.68
14/06/2019;28.1
17/06/2019;29.28
18/06/2019;29.19
19/06/2019;28.78
20/06/2019;28.91
21/06/2019;28.44
24/06/2019;28.6
25/06/2019;29.26
26/06/2019;29.58
27/06/2019;29.53
28/06/2019;33.54
01/07/2019;27.63
02/07/2019;27.23
03/07/2019;26.9
04/07/2019;#N/A
05/07/2019;27.69
08/07/2019;27.7
09/07/2019;27.92
10/07/2019;27.65
11/07/2019;27.14
12/07/2019;26.93
15/07/2019;26.74
16/07/2019;26.52
17/07/2019;29.76
18/07/2019;38.23
19/07/2019;22.93
22/07/2019;20.84
23/07/2019;20.14
24/07/2019;19.9
25/07/2019;20.65
26/07/2019;19.85
29/07/2019;20.48
30/07/2019;21.17
31/07/2019;22.01
01/08/2019;26.15
02/08/2019;23.78
05/08/2019;31.92
06/08/2019;27.01
07/08/2019;26.94
08/08/2019;23.51
09/08/2019;24.95
12/08/2019;23.96
13/08/2019;22.88
14/08/2019;26.75
15/08/2019;25.94
16/08/2019;22.43
19/08/2019;22.8
20/08/2019;23.34
21/08/2019;21.95
22/08/2019;23.33
23/08/2019;27.73
26/08/2019;27.48
27/08/2019;27.68
28/08/2019;27.13
29/08/2019;25.67
30/08/2019;25.73
02/09/2019;#N/A
03/09/2019;28.68
04/09/2019;26.99
05/09/2019;26.23
06/09/2019;25.86
09/09/2019;27.18
10/09/2019;27.07
11/09/2019;26.68
12/09/2019;26.58
13/09/2019;26.46
16/09/2019;28.35
17/09/2019;28.47
18/09/2019;28.19
19/09/2019;27.16
20/09/2019;28.47
23/09/2019;28.85
24/09/2019;29.92
25/09/2019;29.49
26/09/2019;29.97
27/09/2019;31.85
30/09/2019;30.51
01/10/2019;31.27
02/10/2019;33.47
03/10/2019;32.66
04/10/2019;30.89
07/10/2019;31.49
08/10/2019;34.21
09/10/2019;32.46
10/10/2019;31.78
11/10/2019;30.44
14/10/2019;30.22
15/10/2019;29.72
16/10/2019;29.19
17/10/2019;20.84
18/10/2019;21.09
21/10/2019;20.27
22/10/2019;20.7
23/10/2019;19.73
24/10/2019;18.9
25/10/2019;18.78
28/10/2019;18.64
29/10/2019;19.71
30/10/2019;19.06
31/10/2019;19.63
01/11/2019;18.69
04/11/2019;18.56
05/11/2019;18.71
06/11/2019;17.78
07/11/2019;17.67
08/11/2019;17.87
11/11/2019;17.3
12/11/2019;17.2
13/11/2019;18.21
14/11/2019;18.02
15/11/2019;16.85
18/11/2019;17.12
19/11/2019;17.14
20/11/2019;18.52
21/11/2019;18.39
22/11/2019;17.42
25/11/2019;17.19
26/11/2019;16.64
27/11/2019;17.12
28/11/2019;#N/A
29/11/2019;18.41
02/12/2019;19.29
03/12/2019;20.64
04/12/2019;19.67
05/12/2019;19.19
06/12/2019;18.34
09/12/2019;18.92
10/12/2019;19.44
11/12/2019;19.22
12/12/2019;19.23
13/12/2019;17.57
16/12/2019;16.08
17/12/2019;16.55
18/12/2019;15.96
19/12/2019;16.92
20/12/2019;17.3
23/12/2019;18.04
24/12/2019;18.9
25/12/2019;#N/A
26/12/2019;19.98
27/12/2019;20.18
30/12/2019;22.65
31/12/2019;22.14
01/01/2020;#N/A
02/01/2020;22.14
03/01/2020;23.35
06/01/2020;24.25
07/01/2020;24.03
08/01/2020;23.52
09/01/2020;23.5
