Market;Company;Ticker
JSE;Visual International Holdings Ltd.;VIS.JO
JSE;Vivo Energy plc;VVO.JO
JSE;Vodacom Group Ltd.;VOD.JO
JSE;Vukile Property Fund Ltd.;VKE.JO
JSE;Vunani Ltd.;VUN.JO
JSE;Wilson Bayly Holmes - Ovcon Ltd.;WBO.JO
JSE;Wescoal Holdings Ltd.;WSL.JO
JSE;Wesizwe Platinum Ltd.;WEZ.JO
JSE;W G Wearne Ltd.;WEA.JO
JSE;Woolworths Holdings Ltd.;WHL.JO
JSE;Workforce Holdings Ltd.;WKF.JO
JSE;YeboYethu Ltd.;YYLBEE.JO
JSE;York Timber Holdings Ltd.;YRK.JO
JSE;Zarclear Holdings Ltd.;ZCL.JO
JSE;Zeder Investments Ltd.;ZED.JO
JSE;Exchange Traded Notes;ABETNC.JO
JSE;Exchange Traded Notes;ABETNQ.JO
JSE;Exchange Traded Notes;ABSGEA.JO
JSE;Arden Capital Ltd;ACZ.JO
JSE;Exchange Traded Notes;ADETNC.JO
JSE;Exchange Traded Notes;ADETNQ.JO
JSE;Exchange Traded Notes;ALETNC.JO
JSE;Exchange Traded Notes;ALETNQ.JO
JSE;Exchange Traded Notes;AMETNC.JO
JSE;Exchange Traded Notes;AMETNQ.JO
JSE;Exchange Traded Funds;AMIB50.JO
JSE;Exchange Traded Notes;APETNC.JO
JSE;Exchange Traded Notes;APETNQ.JO
JSE;Exchange Traded Funds;ASBI.JO
JSE;Exchange Traded Funds;ASHEQF.JO
JSE;Exchange Traded Funds;ASHINF.JO
JSE;Exchange Traded Funds;ASHMID.JO
JSE;Exchange Traded Funds;ASHT40.JO
JSE;Exchange Traded Funds;ASHWGB.JO
JSE;Afristrat Investment Holdings Ltd.;ATI.JO
JSE;Afristrat Investment Holdings Ltd.;ATID.JO
JSE;Afristrat Investment Holdings Ltd.;ATIG.JO
JSE;Barloworld Ltd.;BAWP.JO
JSE;Exchange Traded Notes;BHETNC.JO
JSE;Exchange Traded Notes;BHETNQ.JO
JSE;Exchange Traded Notes;COETNC.JO
JSE;Exchange Traded Notes;COETNQ.JO
JSE;Exchange Traded Funds;CSP500.JO
JSE;Exchange Traded Funds;CSPROP.JO
JSE;Exchange Traded Funds;CTOP50.JO
JSE;Exchange Traded Funds;DCCUS2.JO
JSE;Exchange Traded Funds;DCCUSD.JO
JSE;Dipula Income Fund Ltd.;DIA.JO
JSE;Exchange Traded Funds;DIVTRX.JO
JSE;Deutsche Konsum REIT-AG;DKR.JO
JSE;DRA Global Ltd.;DRA.JO
JSE;Exchange Traded Notes;EGETNC.JO
JSE;Exchange Traded Notes;EGETNQ.JO
JSE;Exchange Traded Funds;ETF500.JO
JSE;Exchange Traded Funds;ETF5IT.JO
JSE;Exchange Traded Funds;ETFBND.JO
JSE;Exchange Traded Funds;ETFGGB.JO
JSE;Exchange Traded Funds;ETFGLD.JO
JSE;Exchange Traded Funds;ETFGRE.JO
JSE;Exchange Traded Funds;ETFPLD.JO
JSE;Exchange Traded Funds;ETFPLT.JO
JSE;Exchange Traded Funds;ETFRHO.JO
JSE;Exchange Traded Funds;ETFSAP.JO
JSE;Exchange Traded Funds;ETFSWX.JO
JSE;Exchange Traded Funds;ETFT40.JO
JSE;Exchange Traded Funds;ETFWLD.JO
JSE;Exchange Traded Notes;FAETNC.JO
JSE;Exchange Traded Notes;FAETNQ.JO
JSE;Exchange Traded Notes;FDETNC.JO
JSE;Exchange Traded Notes;FDETNQ.JO
JSE;Exchange Traded Notes;FNBGEG.JO
JSE;Exchange Traded Notes;FNBGSE.JO
JSE;Exchange Traded Funds;GIVISA.JO
JSE;Exchange Traded Funds;GLOBAL.JO
JSE;Exchange Traded Funds;GLODIV.JO
JSE;Exchange Traded Funds;GLPROP.JO
JSE;Exchange Traded Notes;GSETNC.JO
JSE;Exchange Traded Notes;GSETNQ.JO
JSE;Exchange Traded Notes;IBLUSD.JO
JSE;Exchange Traded Notes;IBLVR2.JO
JSE;Exchange Traded Notes;IBLVR3.JO
JSE;Exchange Traded Notes;JPETNC.JO
JSE;Exchange Traded Notes;JPETNQ.JO
JSE;Exchange Traded Funds;KCCGLD.JO
JSE;Luxe Holdings Ltd.;LUX.JO
JSE;Exchange Traded Funds;MAPPSG.JO
JSE;Exchange Traded Funds;MAPPSP.JO
JSE;Exchange Traded Notes;MCETNC.JO
JSE;Exchange Traded Notes;MCETNQ.JO
JSE;Mahube Infrastructure Ltd.;MHB.JO
JSE;Exchange Traded Notes;MSETNC.JO
JSE;Exchange Traded Notes;MSETNQ.JO
JSE;Exchange Traded Notes;MWETNC.JO
JSE;Exchange Traded Notes;MWETNQ.JO
JSE;Exchange Traded Notes;NEWEUR.JO
JSE;Exchange Traded Notes;NEWGBP.JO
JSE;Exchange Traded Notes;NEWPLT.JO
JSE;Exchange Traded Funds;NEWPRP.JO
JSE;Exchange Traded Notes;NEWSLV.JO
JSE;Exchange Traded Notes;NEWUSD.JO
JSE;Exchange Traded Funds;NFEDEF.JO
JSE;Exchange Traded Funds;NFEHGE.JO
JSE;Exchange Traded Funds;NFEMOD.JO
JSE;Exchange Traded Funds;NFEMOM.JO
JSE;Exchange Traded Notes;NFETNC.JO
JSE;Exchange Traded Notes;NFETNQ.JO
JSE;Exchange Traded Funds;NFEVAL.JO
JSE;Exchange Traded Funds;NFEVOL.JO
JSE;Exchange Traded Funds;NFGOVI.JO
JSE;Exchange Traded Funds;NFILBI.JO
JSE;Exchange Traded Funds;NFNAMB.JO
JSE;Exchange Traded Funds;NFSH40.JO
JSE;Exchange Traded Funds;NFTRCI.JO
JSE;Exchange Traded Funds;NGPLD.JO
JSE;Northam Platinum Holdings Ltd.;NPH.JO
JSE;Exchange Traded Notes;PPETNC.JO
JSE;Exchange Traded Notes;PPETNQ.JO
JSE;Exchange Traded Funds;PREFTX.JO
JSE;Rex Trueform Group Ltd.;RTN.JO
JSE;Rex Trueform Group Ltd.;RTOP.JO
JSE;Sappi Ltd.;SAPCB.JO
JSE;Exchange Traded Notes;SBCOP.JO
JSE;Exchange Traded Notes;SBOIL.JO
JSE;Sabvest Capital Ltd.;SBP.JO
JSE;Exchange Traded Funds;SMART.JO
JSE;Exchange Traded Notes;SRETNC.JO
JSE;Exchange Traded Notes;SRETNQ.JO
JSE;Exchange Traded Funds;STX500.JO
JSE;Exchange Traded Funds;STXCHN.JO
